columna,tipo,n_unicos,n_nulos
q39_4,float64,2,4984
q39_5,float64,2,4984
q40_1,float64,0,5000
q40_2,float64,0,5000
q40_3,float64,0,5000
q40_4,float64,1,4999
q40_5,float64,9,4985
q42,float64,122,0
q42_1,float64,140,0
ingreso_hogar,float64,62,0
pond_hogar,float64,47,0
fe_hogar,float64,47,0
pond_personas,float64,243,0
fe_personas,float64,243,0
gse,category,6,0
educ_grupo,str,3,0
tramo_edad,category,5,0
ingreso_pm,float64,59,782
ingreso_tramo,category,6,782
ingreso_grupo,str,3,782
