anno,region,zona,acceso_int,quintil,niveduc,sexo,edad,tipo_acceso,edad_tramo,usa_computador,usa_smartphone,exp_hog
2012,13 metropolitana,urbano,no,Q1,media_ch_completa,hombre,39.0,Ninguna,36–40,no,no,3735.46899414062
2012,13 metropolitana,urbano,no,Q1,sup_tecnica_incompleta,mujer,74.0,Ninguna,71–75,no,no,2848.55908203125
2012,13 metropolitana,urbano,no,Q1,media_ch_completa,hombre,54.0,Ninguna,51–55,no,no,2782.39599609375
2012,1 tarapaca,rural,no,Q1,sup_tecnica_completa,mujer,44.0,Ninguna,41–45,no,no,58.2849998474121
2012,1 tarapaca,rural,no,Q1,basica_incompleta,mujer,62.0,Ninguna,61–65,no,no,94.1539993286132
2012,14 los_rios,rural,si,Q1,media_ch_incompleta,mujer,24.0,Sólo Móvil,21–25,si,no,297.31201171875
2012,14 los_rios,rural,no,Q1,basica_completa,hombre,25.0,Ninguna,21–25,no,no,299.419006347656
2012,14 los_rios,rural,no,Q1,basica_completa,mujer,28.0,Ninguna,26–30,no,no,287.959991455078
2012,15 arica_y_parinacota,rural,no,Q1,media_ch_completa,mujer,63.0,Ninguna,61–65,no,no,13.7250003814697
2012,15 arica_y_parinacota,rural,no,Q1,sup_universitaria_incompleta,mujer,19.0,Ninguna,18–20,no,no,13.7250003814697
2012,15 arica_y_parinacota,rural,no,Q1,media_ch_completa,hombre,42.0,Ninguna,41–45,no,no,13.6450004577636
2012,15 arica_y_parinacota,rural,no,Q1,sup_universitaria_completa,hombre,49.0,Ninguna,46–50,no,no,17.712999343872
2012,2 antofagasta,urbano,no,Q1,media_tp_completa,mujer,30.0,Ninguna,26–30,no,no,297.290008544921
2012,2 antofagasta,urbano,si,Q1,media_ch_completa,mujer,40.0,Sólo Fija,36–40,si,no,297.290008544921
2012,2 antofagasta,urbano,si,Q1,sup_universitaria_completa,mujer,39.0,Sólo Fija,36–40,si,no,297.290008544921
2012,2 antofagasta,urbano,si,Q1,sup_universitaria_completa,hombre,61.0,Sólo Fija,61–65,si,no,297.290008544921
2012,2 antofagasta,urbano,si,Q1,sup_tecnica_completa,hombre,44.0,Sólo Fija,41–45,si,si,297.290008544921
2012,2 antofagasta,urbano,no,Q1,basica_completa,mujer,59.0,Ninguna,56–60,no,no,297.290008544921
2012,2 antofagasta,urbano,no,Q1,media_tp_completa,mujer,52.0,Ninguna,51–55,no,no,297.290008544921
2012,2 antofagasta,urbano,si,Q1,sup_tecnica_completa,mujer,52.0,Sólo Fija,51–55,si,no,297.290008544921
2012,2 antofagasta,urbano,si,Q1,media_ch_completa,mujer,45.0,Sólo Fija,41–45,si,si,297.290008544921
2012,2 antofagasta,urbano,si,Q1,sup_universitaria_completa,hombre,51.0,Sólo Fija,51–55,si,si,297.290008544921
2012,2 antofagasta,urbano,si,Q1,media_ch_completa,mujer,56.0,Sólo Móvil,56–60,si,no,297.290008544921
2012,2 antofagasta,urbano,si,Q1,media_ch_incompleta,hombre,19.0,Sólo Fija,18–20,si,no,297.290008544921
2012,2 antofagasta,urbano,si,Q1,sup_universitaria_incompleta,mujer,49.0,Sólo Fija,46–50,si,no,297.290008544921
2012,2 antofagasta,urbano,si,Q1,sup_universitaria_completa,mujer,47.0,Sólo Fija,46–50,si,si,297.290008544921
2012,2 antofagasta,urbano,si,Q1,basica_completa,mujer,44.0,Sólo Fija,41–45,si,no,297.290008544921
2012,2 antofagasta,urbano,si,Q1,sup_tecnica_completa,mujer,45.0,Sólo Fija,41–45,si,no,297.290008544921
2012,2 antofagasta,urbano,si,Q1,media_ch_completa,hombre,37.0,Sólo Móvil,36–40,si,no,297.290008544921
2012,2 antofagasta,urbano,si,Q1,sup_tecnica_completa,hombre,31.0,Sólo Fija,31–35,si,si,297.290008544921
2012,2 antofagasta,urbano,si,Q1,media_ch_completa,hombre,31.0,Sólo Fija,31–35,si,si,297.290008544921
2012,2 antofagasta,urbano,no,Q1,media_tp_incompleta,hombre,68.0,Ninguna,66–70,no,no,297.290008544921
2012,2 antofagasta,urbano,si,Q1,sup_universitaria_incompleta,hombre,35.0,Sólo Fija,31–35,si,si,297.290008544921
2012,2 antofagasta,urbano,si,Q1,sup_universitaria_completa,hombre,46.0,Sólo Móvil,46–50,si,si,297.290008544921
2012,2 antofagasta,urbano,si,Q1,sup_universitaria_completa,hombre,35.0,Sólo Fija,31–35,si,si,297.290008544921
2012,2 antofagasta,urbano,si,Q1,media_ch_incompleta,mujer,52.0,Sólo Fija,51–55,si,no,297.290008544921
2012,2 antofagasta,urbano,si,Q1,sup_tecnica_completa,hombre,62.0,Sólo Fija,61–65,si,si,297.290008544921
2012,2 antofagasta,urbano,no,Q1,media_ch_completa,hombre,40.0,Ninguna,36–40,no,no,297.290008544921
2012,2 antofagasta,urbano,si,Q1,sup_universitaria_completa,mujer,31.0,Sólo Fija,31–35,si,no,297.290008544921
2012,2 antofagasta,urbano,si,Q1,media_tp_completa,mujer,24.0,Sólo Fija,21–25,si,no,297.290008544921
2012,2 antofagasta,urbano,no,Q1,basica_incompleta,hombre,58.0,Ninguna,56–60,no,no,297.290008544921
2012,2 antofagasta,urbano,no,Q1,media_tp_completa,hombre,49.0,Ninguna,46–50,no,no,297.290008544921
2012,2 antofagasta,urbano,si,Q1,sup_universitaria_completa,hombre,69.0,Sólo Fija,66–70,si,no,297.290008544921
2012,2 antofagasta,urbano,si,Q1,sup_universitaria_completa,mujer,53.0,Sólo Fija,51–55,si,no,297.290008544921
2012,2 antofagasta,urbano,si,Q1,sup_universitaria_completa,hombre,59.0,Sólo Fija,56–60,si,si,297.290008544921
2012,2 antofagasta,urbano,si,Q1,sup_universitaria_completa,hombre,40.0,Sólo Fija,36–40,si,si,297.290008544921
2012,2 antofagasta,urbano,si,Q1,sup_universitaria_incompleta,mujer,21.0,Sólo Fija,21–25,si,no,297.290008544921
2012,2 antofagasta,urbano,si,Q1,sup_tecnica_completa,mujer,40.0,Sólo Fija,36–40,si,no,297.290008544921
2012,2 antofagasta,urbano,si,Q1,sup_tecnica_completa,mujer,49.0,Sólo Fija,46–50,si,no,297.290008544921
2012,2 antofagasta,urbano,si,Q1,sup_universitaria_completa,hombre,44.0,Sólo Móvil,41–45,si,si,297.290008544921
2012,2 antofagasta,urbano,si,Q1,sup_universitaria_completa,hombre,56.0,Sólo Fija,56–60,si,no,297.290008544921
2012,2 antofagasta,urbano,si,Q1,media_ch_completa,mujer,58.0,Sólo Fija,56–60,si,si,297.290008544921
2012,2 antofagasta,urbano,si,Q1,sup_tecnica_completa,hombre,29.0,Sólo Fija,26–30,si,no,297.290008544921
2012,2 antofagasta,urbano,si,Q1,sup_tecnica_completa,mujer,28.0,Sólo Fija,26–30,si,si,297.290008544921
2012,2 antofagasta,urbano,si,Q1,sup_tecnica_completa,mujer,27.0,Sólo Móvil,26–30,si,no,297.290008544921
2012,2 antofagasta,urbano,si,Q1,sup_tecnica_completa,hombre,49.0,Sólo Fija,46–50,si,si,297.290008544921
2012,2 antofagasta,urbano,si,Q1,media_ch_completa,hombre,45.0,Sólo Fija,41–45,si,si,297.290008544921
2012,2 antofagasta,urbano,si,Q1,media_tp_completa,hombre,36.0,Sólo Fija,36–40,si,no,297.290008544921
2012,2 antofagasta,urbano,si,Q1,media_ch_completa,hombre,55.0,Sólo Fija,51–55,si,no,297.290008544921
2012,2 antofagasta,urbano,si,Q1,sup_universitaria_completa,mujer,46.0,Sólo Fija,46–50,si,si,297.290008544921
2012,2 antofagasta,urbano,no,Q1,media_tp_completa,hombre,22.0,Ninguna,21–25,no,no,297.290008544921
2012,2 antofagasta,urbano,si,Q1,media_tp_incompleta,mujer,35.0,Sólo Fija,31–35,si,no,297.290008544921
2012,2 antofagasta,urbano,si,Q1,basica_incompleta,mujer,46.0,Sólo Fija,46–50,si,no,297.290008544921
2012,2 antofagasta,urbano,no,Q1,media_tp_completa,hombre,33.0,Ninguna,31–35,no,no,297.290008544921
2012,2 antofagasta,urbano,si,Q1,basica_incompleta,hombre,58.0,Sólo Fija,56–60,si,no,297.290008544921
2012,2 antofagasta,urbano,si,Q1,sup_universitaria_incompleta,hombre,21.0,Sólo Fija,21–25,si,no,297.290008544921
2012,2 antofagasta,urbano,no,Q1,sup_tecnica_completa,hombre,29.0,Ninguna,26–30,no,no,300.127990722656
2012,2 antofagasta,urbano,si,Q1,sup_universitaria_completa,mujer,26.0,Sólo Fija,26–30,si,no,300.127990722656
2012,2 antofagasta,urbano,si,Q1,sup_tecnica_completa,hombre,42.0,Sólo Fija,41–45,si,no,300.127990722656
2012,2 antofagasta,urbano,si,Q1,media_ch_completa,mujer,57.0,Sólo Móvil,56–60,no,si,300.127990722656
2012,2 antofagasta,urbano,si,Q1,sup_tecnica_completa,mujer,37.0,Sólo Fija,36–40,si,no,300.127990722656
2012,2 antofagasta,urbano,si,Q1,sup_universitaria_completa,hombre,54.0,Sólo Fija,51–55,si,no,300.127990722656
2012,2 antofagasta,urbano,si,Q1,sup_tecnica_completa,mujer,32.0,Sólo Móvil,31–35,si,si,300.127990722656
2012,2 antofagasta,urbano,si,Q1,sup_universitaria_completa,hombre,56.0,Sólo Fija,56–60,si,no,300.127990722656
2012,2 antofagasta,urbano,si,Q1,media_ch_completa,hombre,36.0,Sólo Fija,36–40,si,si,302.96499633789
2012,2 antofagasta,urbano,si,Q1,media_ch_completa,mujer,56.0,Sólo Fija,56–60,si,no,302.96499633789
2012,2 antofagasta,urbano,si,Q1,media_ch_completa,mujer,19.0,Sólo Fija,18–20,si,si,302.96499633789
2012,2 antofagasta,urbano,si,Q1,sup_universitaria_completa,hombre,71.0,Sólo Fija,71–75,si,si,302.96499633789
2012,2 antofagasta,urbano,si,Q1,media_ch_completa,mujer,36.0,Sólo Fija,36–40,si,si,302.96499633789
2012,2 antofagasta,urbano,si,Q1,media_tp_completa,mujer,42.0,Sólo Fija,41–45,si,si,302.96499633789
2012,2 antofagasta,urbano,no,Q1,media_ch_completa,mujer,60.0,Ninguna,56–60,no,no,302.96499633789
2012,2 antofagasta,urbano,si,Q1,sup_universitaria_incompleta,mujer,21.0,Sólo Fija,21–25,si,si,302.96499633789
2012,2 antofagasta,urbano,si,Q1,media_tp_completa,mujer,50.0,Sólo Fija,46–50,si,no,302.96499633789
2012,2 antofagasta,urbano,si,Q1,media_ch_completa,mujer,32.0,Sólo Fija,31–35,si,si,302.96499633789
2012,2 antofagasta,urbano,si,Q1,sup_tecnica_completa,hombre,33.0,Sólo Fija,31–35,si,si,302.96499633789
2012,2 antofagasta,urbano,si,Q1,media_ch_completa,hombre,51.0,Sólo Fija,51–55,si,no,302.96499633789
2012,2 antofagasta,urbano,si,Q1,sup_universitaria_completa,mujer,60.0,Sólo Fija,56–60,si,no,302.96499633789
2012,2 antofagasta,urbano,si,Q1,sup_tecnica_completa,mujer,51.0,Sólo Fija,51–55,si,si,302.96499633789
2012,2 antofagasta,urbano,no,Q1,sup_universitaria_completa,mujer,58.0,Ninguna,56–60,no,no,302.96499633789
2012,2 antofagasta,urbano,si,Q1,media_ch_completa,hombre,68.0,Sólo Fija,66–70,si,no,302.96499633789
2012,2 antofagasta,urbano,no,Q1,basica_incompleta,mujer,61.0,Ninguna,61–65,no,no,302.96499633789
2012,2 antofagasta,urbano,si,Q1,sup_tecnica_completa,mujer,29.0,Sólo Fija,26–30,si,si,302.96499633789
2012,2 antofagasta,urbano,si,Q1,sup_tecnica_completa,hombre,30.0,Sólo Fija,26–30,si,si,302.96499633789
2012,2 antofagasta,urbano,no,Q1,media_ch_completa,mujer,51.0,Ninguna,51–55,no,no,302.96499633789
2012,2 antofagasta,urbano,si,Q1,media_tp_completa,mujer,24.0,Sólo Fija,21–25,si,si,302.96499633789
2012,2 antofagasta,urbano,no,Q1,basica_completa,mujer,70.0,Ninguna,66–70,no,no,302.96499633789
2012,2 antofagasta,urbano,si,Q1,sup_universitaria_completa,mujer,27.0,Sólo Fija,26–30,si,si,302.96499633789
2012,2 antofagasta,urbano,no,Q1,media_ch_incompleta,hombre,51.0,Ninguna,51–55,no,no,302.96499633789
2012,2 antofagasta,urbano,no,Q1,media_ch_incompleta,hombre,33.0,Ninguna,31–35,no,no,302.96499633789
2012,2 antofagasta,urbano,si,Q1,media_ch_completa,mujer,55.0,Sólo Fija,51–55,si,no,302.96499633789
2012,2 antofagasta,urbano,no,Q1,sup_tecnica_completa,mujer,50.0,Ninguna,46–50,no,no,302.96499633789
2012,2 antofagasta,urbano,no,Q1,media_ch_completa,mujer,24.0,Ninguna,21–25,no,no,302.96499633789
2012,2 antofagasta,urbano,si,Q1,media_ch_completa,mujer,64.0,Sólo Fija,61–65,si,si,302.96499633789
2012,2 antofagasta,urbano,si,Q1,basica_completa,mujer,50.0,Sólo Fija,46–50,si,si,302.96499633789
2012,2 antofagasta,urbano,si,Q1,basica_completa,mujer,54.0,Sólo Fija,51–55,si,no,302.96499633789
2012,2 antofagasta,urbano,si,Q1,media_tp_completa,mujer,39.0,Sólo Fija,36–40,si,si,302.96499633789
2012,2 antofagasta,urbano,no,Q1,media_ch_completa,mujer,64.0,Ninguna,61–65,no,no,302.96499633789
2012,2 antofagasta,urbano,si,Q1,media_tp_completa,mujer,20.0,Sólo Móvil,18–20,si,no,302.96499633789
2012,2 antofagasta,urbano,si,Q1,media_ch_completa,mujer,36.0,Sólo Fija,36–40,si,no,302.96499633789
2012,2 antofagasta,urbano,no,Q1,media_tp_completa,hombre,38.0,Ninguna,36–40,no,no,302.96499633789
2012,2 antofagasta,urbano,si,Q1,sup_universitaria_completa,mujer,40.0,Sólo Fija,36–40,si,no,302.96499633789
2012,2 antofagasta,urbano,no,Q1,basica_completa,mujer,61.0,Ninguna,61–65,no,no,302.96499633789
2012,2 antofagasta,rural,si,Q1,sup_universitaria_incompleta,hombre,40.0,Sólo Móvil,36–40,si,si,72.261001586914
2012,3 atacama,rural,no,Q1,media_ch_completa,mujer,36.0,Ninguna,36–40,no,no,65.6959991455078
2012,3 atacama,rural,no,Q1,media_tp_incompleta,hombre,69.0,Ninguna,66–70,no,no,125.320999145507
2012,3 atacama,rural,no,Q1,sup_tecnica_incompleta,mujer,38.0,Ninguna,36–40,no,no,125.320999145507
2012,4 coquimbo,rural,si,Q1,media_tp_completa,mujer,49.0,Sólo Móvil,46–50,si,no,509.373992919921
2012,5 valparaiso,urbano,si,Q1,media_tp_incompleta,mujer,70.0,Sólo Fija,66–70,si,no,90873974609375.0
2012,7 maule,rural,no,Q1,media_tp_incompleta,mujer,38.0,Ninguna,36–40,no,no,810.968994140625
2012,7 maule,rural,no,Q1,basica_incompleta,mujer,54.0,Ninguna,51–55,no,no,899.401977539062
2012,8 biobio,urbano,no,Q1,basica_incompleta,hombre,41.0,Ninguna,41–45,no,no,1030.85705566406
2012,8 biobio,urbano,no,Q1,media_ch_completa,hombre,47.0,Ninguna,46–50,no,no,1030.85705566406
2012,8 biobio,urbano,si,Q1,sup_universitaria_incompleta,mujer,20.0,Sólo Móvil,18–20,si,no,1030.85705566406
2012,8 biobio,urbano,no,Q1,media_ch_completa,mujer,69.0,Ninguna,66–70,no,no,1030.85705566406
2012,8 biobio,urbano,si,Q1,sup_tecnica_incompleta,mujer,20.0,Sólo Fija,18–20,si,no,1030.85705566406
2012,8 biobio,urbano,no,Q1,basica_incompleta,mujer,64.0,Ninguna,61–65,no,no,987.359985351562
2012,8 biobio,urbano,no,Q1,basica_completa,mujer,43.0,Ninguna,41–45,no,no,988189819335938.0
2012,8 biobio,urbano,si,Q1,media_ch_completa,mujer,20.0,Sólo Fija,18–20,si,no,988189819335938.0
2012,8 biobio,urbano,si,Q1,media_ch_completa,hombre,31.0,Sólo Fija,31–35,si,no,988189819335938.0
2012,8 biobio,urbano,no,Q1,media_ch_completa,hombre,54.0,Ninguna,51–55,no,no,103241015625.0
2012,8 biobio,urbano,no,Q1,media_ch_incompleta,mujer,73.0,Ninguna,71–75,no,no,1032.60705566406
2012,8 biobio,urbano,si,Q1,media_tp_completa,mujer,65.0,Sólo Fija,61–65,si,no,1032.60705566406
2012,8 biobio,urbano,si,Q1,media_ch_completa,hombre,54.0,Sólo Fija,51–55,si,no,1032.60705566406
2012,8 biobio,urbano,si,Q1,sup_universitaria_completa,mujer,49.0,Sólo Fija,46–50,si,si,1032.60705566406
2012,8 biobio,rural,no,Q1,basica_incompleta,mujer,35.0,Ninguna,31–35,no,no,884.385986328125
2012,8 biobio,rural,no,Q1,basica_completa,mujer,46.0,Ninguna,46–50,no,no,884.385986328125
2012,8 biobio,rural,no,Q1,media_tp_completa,mujer,67.0,Ninguna,66–70,no,no,857.755004882812
2012,8 biobio,rural,si,Q1,basica_completa,mujer,37.0,Sólo Móvil,36–40,si,no,783.158020019531
2012,8 biobio,rural,no,Q1,basica_incompleta,mujer,59.0,Ninguna,56–60,no,no,783.158020019531
2012,8 biobio,rural,no,Q1,media_tp_completa,mujer,42.0,Ninguna,41–45,no,no,783.158020019531
2012,15 arica_y_parinacota,rural,si,Q1,media_tp_completa,mujer,23.0,Sólo Móvil,21–25,si,no,13.6450004577636
2012,12 magallanes,rural,no,Q1,media_tp_incompleta,hombre,57.0,Ninguna,56–60,no,no,8.19099998474121
2012,15 arica_y_parinacota,rural,no,Q2,media_ch_completa,mujer,28.0,Ninguna,26–30,no,no,12.0
2012,15 arica_y_parinacota,rural,no,Q3,basica_completa,mujer,38.0,Ninguna,36–40,no,no,12.0
2012,12 magallanes,rural,no,Q2,sin_educacion_formal,mujer,43.0,Ninguna,41–45,no,no,18.4740009307861
2012,2 antofagasta,rural,no,Q1,sin_educacion_formal,mujer,50.0,Ninguna,46–50,no,no,19310001373291.0
2012,12 magallanes,rural,no,Q1,media_ch_completa,hombre,46.0,Ninguna,46–50,no,no,8.19099998474121
2012,12 magallanes,rural,no,Q1,media_ch_completa,mujer,43.0,Ninguna,41–45,no,no,18.4740009307861
2012,12 magallanes,rural,no,Q1,media_ch_incompleta,hombre,43.0,Ninguna,41–45,no,no,23.1110000610351
2012,15 arica_y_parinacota,rural,no,Q2,media_tp_completa,mujer,32.0,Ninguna,31–35,no,no,13.6450004577636
2012,11 aysen,rural,no,Q1,media_tp_incompleta,hombre,56.0,Ninguna,56–60,no,no,18.3549995422363
2012,2 antofagasta,rural,si,Q1,media_ch_completa,mujer,25.0,Sólo Móvil,21–25,si,no,19310001373291.0
2012,12 magallanes,rural,no,Q1,basica_incompleta,mujer,49.0,Ninguna,46–50,no,no,8.19099998474121
2012,15 arica_y_parinacota,rural,no,Q2,media_tp_incompleta,hombre,34.0,Ninguna,31–35,no,no,1597000122070310.0
2012,12 magallanes,rural,si,Q3,media_tp_completa,hombre,30.0,Sólo Móvil,26–30,si,no,8.19099998474121
2012,12 magallanes,rural,no,Q1,basica_incompleta,hombre,67.0,Ninguna,66–70,no,no,18.4740009307861
2012,15 arica_y_parinacota,rural,no,Q2,basica_incompleta,hombre,53.0,Ninguna,51–55,no,no,11.8520002365112
2012,12 magallanes,rural,si,Q2,media_tp_completa,hombre,29.0,Sólo Móvil,26–30,si,no,8.19099998474121
2012,15 arica_y_parinacota,rural,no,Q2,media_ch_incompleta,mujer,25.0,Ninguna,21–25,no,no,12.9029998779296
2012,15 arica_y_parinacota,rural,si,Q1,media_ch_completa,mujer,42.0,Sólo Móvil,41–45,si,no,13.6450004577636
2012,15 arica_y_parinacota,rural,no,Q2,basica_incompleta,mujer,35.0,Ninguna,31–35,no,no,11.8520002365112
2012,11 aysen,rural,no,Q1,basica_incompleta,mujer,51.0,Ninguna,51–55,no,no,43.4900016784668
2012,12 magallanes,rural,no,Q2,basica_completa,mujer,24.0,Ninguna,21–25,no,no,18.4740009307861
2012,11 aysen,rural,no,Q2,media_tp_incompleta,hombre,31.0,Ninguna,31–35,no,no,17.8819999694824
2012,12 magallanes,rural,si,Q2,sup_tecnica_completa,hombre,39.0,Sólo Móvil,36–40,no,si,18.4740009307861
2012,1 tarapaca,rural,no,Q2,media_tp_completa,hombre,21.0,Ninguna,21–25,no,no,25.1499996185302
2012,12 magallanes,rural,si,Q3,media_tp_completa,hombre,46.0,Sólo Fija,46–50,si,no,8.19099998474121
2012,12 magallanes,rural,si,Q2,sup_tecnica_completa,mujer,45.0,Sólo Móvil,41–45,si,no,14.8249998092651
2012,15 arica_y_parinacota,rural,si,Q3,media_ch_incompleta,hombre,18.0,Sólo Móvil,18–20,si,no,1597000122070310.0
2012,15 arica_y_parinacota,rural,no,Q2,basica_incompleta,mujer,69.0,Ninguna,66–70,no,no,1597000122070310.0
2012,15 arica_y_parinacota,rural,no,Q1,media_tp_completa,hombre,74.0,Ninguna,71–75,no,no,17.712999343872
2012,12 magallanes,rural,no,Q2,basica_incompleta,mujer,68.0,Ninguna,66–70,no,no,8.19099998474121
2012,12 magallanes,rural,si,Q4,media_tp_completa,mujer,22.0,Sólo Móvil,21–25,si,no,8.19099998474121
2012,11 aysen,rural,no,Q1,basica_completa,mujer,46.0,Ninguna,46–50,no,no,43.4900016784668
2012,11 aysen,rural,si,Q1,sin_educacion_formal,hombre,70.0,Sólo Móvil,66–70,si,no,42.7400016784668
2012,12 magallanes,rural,si,Q4,media_ch_incompleta,mujer,29.0,Sólo Móvil,26–30,si,no,8.19099998474121
2012,12 magallanes,rural,si,Q4,sup_universitaria_completa,hombre,37.0,Sólo Móvil,36–40,si,no,8.19099998474121
2012,11 aysen,rural,no,Q2,basica_incompleta,mujer,46.0,Ninguna,46–50,no,no,17.8819999694824
2012,15 arica_y_parinacota,rural,no,Q1,sin_educacion_formal,mujer,72.0,Ninguna,71–75,no,no,13.6450004577636
2012,12 magallanes,rural,no,Q3,media_ch_incompleta,hombre,24.0,Ninguna,21–25,no,no,8.19099998474121
2012,12 magallanes,rural,no,Q1,basica_completa,hombre,65.0,Ninguna,61–65,no,no,18.4740009307861
2012,12 magallanes,rural,no,Q2,media_tp_incompleta,hombre,35.0,Ninguna,31–35,no,no,18.4740009307861
2012,11 aysen,rural,no,Q1,basica_incompleta,mujer,56.0,Ninguna,56–60,no,no,18.3549995422363
2012,12 magallanes,rural,no,Q2,basica_incompleta,hombre,60.0,Ninguna,56–60,no,no,8.19099998474121
2012,15 arica_y_parinacota,rural,no,Q4,media_ch_incompleta,mujer,43.0,Ninguna,41–45,no,no,17.712999343872
2012,12 magallanes,rural,si,Q5,sup_tecnica_incompleta,mujer,31.0,Sólo Móvil,31–35,si,si,8.19099998474121
2012,1 tarapaca,rural,no,Q1,basica_incompleta,mujer,58.0,Ninguna,56–60,no,no,50.4869995117187
2012,12 magallanes,rural,no,Q3,basica_incompleta,hombre,64.0,Ninguna,61–65,no,no,8.19099998474121
2012,11 aysen,rural,no,Q1,sin_educacion_formal,mujer,47.0,Ninguna,46–50,no,no,43.4900016784668
2012,15 arica_y_parinacota,rural,no,Q2,media_tp_incompleta,mujer,18.0,Ninguna,18–20,no,no,13.7250003814697
2012,15 arica_y_parinacota,rural,no,Q3,basica_incompleta,hombre,39.0,Ninguna,36–40,no,no,13.7250003814697
2012,11 aysen,rural,no,Q1,media_tp_incompleta,mujer,18.0,Ninguna,18–20,no,no,42.7400016784668
2012,12 magallanes,rural,si,Q3,media_tp_incompleta,mujer,62.0,Sólo Móvil,61–65,si,no,8.19099998474121
2012,11 aysen,rural,si,Q1,basica_incompleta,hombre,66.0,Sólo Móvil,66–70,si,no,37.3320007324218
2012,12 magallanes,rural,no,Q3,basica_incompleta,hombre,58.0,Ninguna,56–60,no,no,8.19099998474121
2012,12 magallanes,rural,no,Q4,media_ch_completa,mujer,51.0,Ninguna,51–55,no,no,8.19099998474121
2012,11 aysen,rural,si,Q1,sup_tecnica_completa,hombre,38.0,Sólo Móvil,36–40,si,no,37.3320007324218
2012,15 arica_y_parinacota,rural,no,Q1,basica_incompleta,hombre,78.0,Ninguna,76–80,no,no,17.712999343872
2012,15 arica_y_parinacota,rural,si,Q2,media_tp_incompleta,mujer,43.0,Sólo Móvil,41–45,si,no,1597000122070310.0
2012,15 arica_y_parinacota,rural,no,Q3,basica_incompleta,mujer,30.0,Ninguna,26–30,no,no,1597000122070310.0
2012,12 magallanes,rural,no,Q3,basica_incompleta,mujer,75.0,Ninguna,71–75,no,no,8.19099998474121
2012,11 aysen,rural,no,Q1,basica_incompleta,mujer,69.0,Ninguna,66–70,no,no,18.3549995422363
2012,12 magallanes,rural,no,Q1,sin_educacion_formal,mujer,66.0,Ninguna,66–70,no,no,18.4740009307861
2012,12 magallanes,rural,no,Q1,basica_incompleta,hombre,67.0,Ninguna,66–70,no,no,18.4740009307861
2012,15 arica_y_parinacota,rural,no,Q4,sup_universitaria_incompleta,mujer,29.0,Ninguna,26–30,no,no,13.7250003814697
2012,12 magallanes,rural,no,Q2,media_ch_incompleta,hombre,51.0,Ninguna,51–55,no,no,8.19099998474121
2012,15 arica_y_parinacota,rural,si,Q1,media_tp_completa,hombre,20.0,Sólo Móvil,18–20,no,si,13.6450004577636
2012,12 magallanes,rural,no,Q4,media_tp_completa,mujer,41.0,Ninguna,41–45,no,no,8.19099998474121
2012,15 arica_y_parinacota,rural,si,Q4,sup_universitaria_incompleta,mujer,23.0,Sólo Móvil,21–25,si,no,13.7250003814697
2012,11 aysen,rural,no,Q2,basica_completa,mujer,26.0,Ninguna,26–30,no,no,42.7400016784668
2012,12 magallanes,rural,no,Q2,basica_incompleta,hombre,61.0,Ninguna,61–65,no,no,18.4740009307861
