nombre_columna,tipo_datos,valores_unicos,null_count,descripcion
Q32_OTRA,object,45,0,
Q33_1,float64,2,269,
Q33_2,float64,2,269,
Q33_3,float64,2,269,
Q33_4,float64,2,269,
Q33_5,float64,2,269,
Q33_6,float64,2,269,
Q33_7,float64,2,269,
Q33_8,float64,2,269,
Q33_9,float64,2,269,
Q33_10,float64,2,269,
Q33_11,float64,2,269,
Q33_12,float64,2,269,
Q33_OTRA,object,56,0,
Q34_1,float64,2,4731,
Q34_2,float64,2,4731,
Q34_3,float64,2,4731,
Q34_4,float64,2,4731,
Q34_5,float64,2,4731,
Q34_6,float64,2,4731,
Q34_7,float64,2,4731,
Q34_8,float64,2,4731,
Q34_9,float64,2,4731,
Q34_10,float64,2,4731,
Q34_11,float64,2,4731,
Q34_12,float64,2,4731,
Q34_13,float64,2,4731,
Q34_14,float64,2,4731,
Q34_15,float64,2,4731,
Q34_16,float64,2,4731,
Q34_17,float64,2,4731,
Q34_18,float64,2,4731,
Q34_19,float64,2,4731,
Q34_20,float64,2,4731,
Q34_21,float64,1,4731,
Q34_22,float64,2,4731,
Q34_OTRA,object,31,0,
Q35,float64,13,4969,
Q36,object,49,0,
Q36_CODIF_1,float64,2,4952,
Q36_CODIF_2,float64,2,4952,
Q36_CODIF_3,float64,2,4952,
Q36_CODIF_4,float64,2,4952,
Q36_CODIF_5,float64,2,4952,
Q36_CODIF_6,float64,2,4952,
Q36_CODIF_7,float64,2,4952,
Q36_CODIF_8,float64,1,4952,
Q36_CODIF_9,float64,2,4952,
Q36_CODIF_10,float64,2,4952,
Q36_CODIF_11,float64,2,4952,
Q36_CODIF_12,float64,2,4952,
Q36_CODIF_13,float64,2,4952,
Q36_CODIF_14,float64,1,4952,
Q36_CODIF_15,float64,1,4952,
Q36_CODIF_16,float64,1,4952,
Q36_CODIF_17,float64,1,4952,
Q37_1,float64,2,4731,
Q37_2,float64,2,4731,
Q37_3,float64,2,4731,
Q37_4,float64,2,4731,
Q37_5,float64,2,4731,
Q37_6,float64,2,4731,
Q37_7,float64,2,4731,
Q38_1,float64,3,4988,
Q38_2,float64,4,4989,
Q38_3,float64,3,4985,
Q38_4,float64,2,4998,
Q38_5,float64,6,4957,
Q38_6,float64,4,4989,
Q39_1,float64,1,4984,
Q39_2,float64,1,4984,
Q39_3,float64,1,4984,
Q39_4,float64,2,4984,
Q39_5,float64,2,4984,
Q40_1,float64,0,5000,
Q40_2,float64,0,5000,
Q40_3,float64,0,5000,
Q40_4,float64,1,4999,
Q40_5,float64,8,4990,
Q42,float64,121,761,
Q42_1,float64,139,413,
ingreso_hogar,float64,62,0,
pond_hogar,float64,47,0,
fe_hogar,float64,47,0,
pond_personas,float64,243,0,
fe_personas,float64,243,0,
gse,category,6,0,
educ_grupo,object,3,0,
tramo_edad,category,5,0,
